colour	y	x	group	clickSelects	showSelected1	PANEL
#000000	-1.23698835133576	0	1	constant	subtrain	1
#000000	-1.27996037693708	1	1	constant	subtrain	1
#000000	-1.28321315690112	2	1	constant	subtrain	1
#000000	-1.29415325837915	3	1	constant	subtrain	1
#000000	-1.32624930050832	4	1	constant	subtrain	1
#000000	-1.60453274157784	5	1	constant	subtrain	1
#000000	-1.60593063870633	6	1	constant	subtrain	1
#000000	-3.03643756431544	7	1	constant	subtrain	1
#000000	-3.03645001530969	8	1	constant	subtrain	1
#000000	-4.91437563507421	9	1	constant	subtrain	1
#FF0000	-1.2083973951143	0	2	constant	validation	1
#FF0000	-1.17858157660371	1	2	constant	validation	1
#FF0000	-1.17847353532443	2	2	constant	validation	1
#FF0000	-1.15771983223681	3	2	constant	validation	1
#FF0000	-1.15054853980895	4	2	constant	validation	1
#FF0000	-0.623575232599126	5	2	constant	validation	1
#FF0000	-0.628890592769394	6	2	constant	validation	1
#FF0000	0.0846554247226064	7	2	constant	validation	1
#FF0000	0.0860712842780229	8	2	constant	validation	1
#FF0000	0.613120601700546	9	2	constant	validation	1
#000000	-1.20484808815339	0	3	cubic	subtrain	1
#000000	-2.07512426805889	1	3	cubic	subtrain	1
#000000	-2.077039044049	2	3	cubic	subtrain	1
#000000	-2.62661803161459	3	3	cubic	subtrain	1
#000000	-2.75861723454921	4	3	cubic	subtrain	1
#000000	-2.96598584533322	5	3	cubic	subtrain	1
#000000	-3.0039845433655	6	3	cubic	subtrain	1
#000000	-3.04430147966437	7	3	cubic	subtrain	1
#000000	-3.10426681800887	8	3	cubic	subtrain	1
#000000	-4.91437563507421	9	3	cubic	subtrain	1
#FF0000	-1.52619868986491	0	4	cubic	validation	1
#FF0000	-1.95341011181449	1	4	cubic	validation	1
#FF0000	-1.97111145451585	2	4	cubic	validation	1
#FF0000	-2.67294671261316	3	4	cubic	validation	1
#FF0000	-2.53987218765478	4	4	cubic	validation	1
#FF0000	-2.03878884684614	5	4	cubic	validation	1
#FF0000	-1.95337521356551	6	4	cubic	validation	1
#FF0000	-1.71422664482465	7	4	cubic	validation	1
#FF0000	-0.935168859253504	8	4	cubic	validation	1
#FF0000	0.927525321587178	9	4	cubic	validation	1
#000000	-1.00643794001942	0	5	linear	subtrain	1
#000000	-2.88171390858969	1	5	linear	subtrain	1
#000000	-2.98157296608812	2	5	linear	subtrain	1
#000000	-2.98174301092558	3	5	linear	subtrain	1
#000000	-2.9836106645224	4	5	linear	subtrain	1
#000000	-2.9872423088078	5	5	linear	subtrain	1
#000000	-3.26030778139314	6	5	linear	subtrain	1
#000000	-3.3053324471029	7	5	linear	subtrain	1
#000000	-4.63618987523319	8	5	linear	subtrain	1
#000000	-4.91437563507421	9	5	linear	subtrain	1
#FF0000	-1.14905510205653	0	6	linear	validation	1
#FF0000	-2.80304884495615	1	6	linear	validation	1
#FF0000	-2.75168637036808	2	6	linear	validation	1
#FF0000	-2.75426710758111	3	6	linear	validation	1
#FF0000	-2.74966040284666	4	6	linear	validation	1
#FF0000	-2.75440410169546	5	6	linear	validation	1
#FF0000	-2.29389010145363	6	6	linear	validation	1
#FF0000	-2.44725542308753	7	6	linear	validation	1
#FF0000	-0.633012976330761	8	6	linear	validation	1
#FF0000	-0.7637321998256	9	6	linear	validation	1
#000000	-1.13408174706317	0	7	quadratic	subtrain	1
#000000	-1.21782039406538	1	7	quadratic	subtrain	1
#000000	-2.21975104669219	2	7	quadratic	subtrain	1
#000000	-2.49453376419055	3	7	quadratic	subtrain	1
#000000	-2.63279391540655	4	7	quadratic	subtrain	1
#000000	-3.70197361838834	5	7	quadratic	subtrain	1
